,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
78,78,0.7567211485981346,2023-05-11 13:58:24.196070,2023-05-11 14:04:08.172937,0 days 00:05:43.976867,0.14713581980553966,16384,0.043859299068460436,1e-05,0.005,85.0,COMPLETE
79,79,0.7548944280659308,2023-05-11 14:04:08.178352,2023-05-11 14:10:03.844374,0 days 00:05:55.666022,0.1549473183405658,16384,0.04759668763831356,0.1,0.005,75.0,COMPLETE
80,80,0.755521610834416,2023-05-11 14:10:03.846560,2023-05-11 14:18:11.947275,0 days 00:08:08.100715,0.14426357986166174,4096,0.04978616649947503,0.0001,0.005,95.0,COMPLETE
81,81,0.7581248580124589,2023-05-11 14:18:11.951313,2023-05-11 14:23:45.135275,0 days 00:05:33.183962,0.14889803572118282,16384,0.04642885785225777,1e-05,0.005,95.0,COMPLETE
82,82,0.4967811287287474,2023-05-11 14:23:45.141161,2023-05-11 14:24:17.327986,0 days 00:00:32.186825,0.15766618027514223,16384,0.04600530618107632,1e-05,0.005,100.0,COMPLETE
83,83,0.7581248541676838,2023-05-11 14:24:17.333295,2023-05-11 14:30:10.620698,0 days 00:05:53.287403,0.15153260906899682,16384,0.05403160818980938,1e-05,0.005,95.0,COMPLETE
84,84,0.7574641821272589,2023-05-11 14:30:10.626721,2023-05-11 14:36:40.447023,0 days 00:06:29.820302,0.14320142664528837,16384,0.058543168675916996,1e-05,0.005,90.0,COMPLETE
85,85,0.7581248503229088,2023-05-11 14:36:40.449193,2023-05-11 14:42:47.005648,0 days 00:06:06.556455,0.14592338482417241,16384,0.052171137676474064,1e-05,0.005,95.0,COMPLETE
86,86,0.49735200348560127,2023-05-11 14:42:47.009409,2023-05-11 14:43:22.031568,0 days 00:00:35.022159,0.15334742993235723,1024,0.04183962372253617,1e-05,0.005,100.0,COMPLETE
87,87,0.7574641808456671,2023-05-11 14:43:22.034247,2023-05-11 14:49:54.627349,0 days 00:06:32.593102,0.14020408913731908,16384,0.04822832960999147,0.001,0.005,90.0,COMPLETE
88,88,0.4973911420136241,2023-05-11 14:49:54.634413,2023-05-11 14:50:26.558473,0 days 00:00:31.924060,0.14901513387669796,16384,0.0456736935696591,1e-05,0.001,90.0,COMPLETE
89,89,0.7567211498797262,2023-05-11 14:50:26.560251,2023-05-11 14:56:19.280106,0 days 00:05:52.719855,0.1373922924183995,16384,0.056250591655724824,1e-05,0.005,85.0,COMPLETE
90,90,0.7581248516045005,2023-05-11 14:56:19.286664,2023-05-11 15:02:03.654479,0 days 00:05:44.367815,0.13119701545291954,16384,0.050968120630256644,1e-05,0.005,95.0,COMPLETE
91,91,0.7581248477597254,2023-05-11 15:02:03.657346,2023-05-11 15:08:09.270776,0 days 00:06:05.613430,0.14941585254551557,16384,0.0466434375475026,1e-05,0.005,95.0,COMPLETE
92,92,0.4967811300103391,2023-05-11 15:08:09.272321,2023-05-11 15:08:41.473455,0 days 00:00:32.201134,0.1471716727351816,16384,0.04466503347241836,1e-05,0.005,100.0,COMPLETE
93,93,0.7581248567308672,2023-05-11 15:08:41.494870,2023-05-11 15:13:54.162563,0 days 00:05:12.667693,0.14497566626293212,16384,0.05473391906864575,0.01,0.005,95.0,COMPLETE
94,94,0.496781122320789,2023-05-11 15:13:54.166012,2023-05-11 15:14:24.520054,0 days 00:00:30.354042,0.14312375290932494,16384,0.05380324945165686,0.01,0.005,100.0,COMPLETE
95,95,0.730752264270026,2023-05-11 15:14:24.521525,2023-05-11 15:15:25.050133,0 days 00:01:00.528608,0.15385058396839216,16384,0.05910537245296633,0.01,0.05,90.0,COMPLETE
96,96,0.7142722628826261,2023-05-11 15:15:25.069126,2023-05-11 15:16:17.461194,0 days 00:00:52.392068,0.1451946428272815,16384,0.05693782088036284,0.01,0.1,95.0,COMPLETE
97,97,0.5044363525999486,2023-05-11 15:16:17.462786,2023-05-11 15:16:50.151761,0 days 00:00:32.688975,0.1353278089604616,2048,0.062125247290802495,0.01,0.005,50.0,COMPLETE
98,98,0.49678112488397236,2023-05-11 15:16:50.155317,2023-05-11 15:17:22.513551,0 days 00:00:32.358234,0.1414361131347796,16384,0.049708824752956876,0.01,0.005,100.0,COMPLETE
99,99,0.7567211460349512,2023-05-11 15:17:22.519774,2023-05-11 15:22:29.653044,0 days 00:05:07.133270,0.1518144699571977,16384,0.05386617029072566,0.1,0.005,85.0,COMPLETE
